Hour,Minute,Traffic,Sources,UDP,TCP
9,33,2496135,130465,228759,2198015
9,34,2490601,130425,230984,2189500
9,35,2528376,129835,233653,2226822
9,36,2483737,129091,197508,2217453
9,37,2475322,129646,192194,2212085
9,38,2418460,130176,194923,2154217
9,39,2475521,129464,193071,2212833
9,40,2484149,129339,203120,2211539
9,41,2519314,128617,216993,2232348
9,42,2527896,128740,220015,2238219
9,43,2513900,128641,227491,2217701
9,44,2501632,128485,230180,2202739
9,45,2480370,129215,226645,2184642
9,46,1494391,128360,211014,1214429
9,47,1445825,127890,208606,1162338
9,48,1514674,128878,221351,1219113
9,49,1443934,128932,217786,1157144
9,50,1439831,129721,218618,1152074
9,51,1462500,130231,212792,1180819
9,52,1446042,129332,217873,1158638
9,53,1430509,130460,215992,1145392
9,54,1444876,130033,222991,1153574
9,55,1394223,129669,211750,1114110
9,56,1441798,129583,220196,1153232
9,57,1466732,130117,227866,1169587
9,58,1561215,128963,229088,1263834
9,59,1475502,129067,224196,1180803
10,0,1474258,128276,212671,1190051
10,1,1397715,127751,209985,1113976
10,2,1398586,127560,219155,1106447
10,3,1405145,129444,231246,1088854
10,4,1389757,129791,225596,1084278
10,5,1419726,129515,228505,1111483
10,6,1435420,129653,230917,1129411
10,7,1411586,129139,237460,1102797
10,8,1398271,129886,234703,1092051
10,9,1442206,131144,235900,1134797
10,10,1440486,131488,229938,1139104
10,11,1425526,131639,243579,1110806
10,12,1460843,130753,238956,1150473
10,13,1572069,132426,245063,1258262
10,14,1546793,132819,246173,1232242
10,15,1474961,133093,238782,1167523
10,16,1464770,133420,250631,1145758
10,17,1451633,133805,246596,1136261
10,18,1481397,135309,251061,1161958
10,19,1519242,136209,243930,1207984
10,20,1608808,137052,239186,1300904
10,21,1715082,136988,251434,1395407
10,22,1571097,137008,251516,1250994
10,23,1475238,136599,252013,1154981
10,24,1494153,136603,251202,1175241
10,25,1505911,137046,252214,1185145
10,26,1497049,136716,252910,1174908
10,27,1504355,136754,252407,1183126
10,28,1464709,135613,251283,1144177
10,29,1468191,135769,252901,1147177
10,30,1450757,136563,246082,1136061
10,31,1542149,136905,249404,1223755
10,32,1445308,135224,247722,1128901
10,33,1417974,136479,248943,1099933
10,34,1412303,135568,242801,1100492
10,35,1427296,134927,241640,1115746
10,36,1445746,135448,246106,1130461
10,37,1524987,135192,245546,1210493
10,38,1449641,136703,247540,1134278
10,39,1437220,135910,245195,1124104
10,40,1440025,136539,234752,1136685
10,41,1467523,136880,237585,1160981
10,42,1437640,136905,246876,1120797
10,43,1436920,137038,245637,1121826
10,44,1465304,136812,243091,1153789
10,45,1512550,138169,249158,1193715
10,46,1583878,139094,249558,1265906
10,47,1516124,138996,248196,1200624
10,48,1484488,139441,253069,1165264
10,49,1539639,139383,250612,1224227
10,50,1518265,139495,252110,1200843
10,51,1513928,139051,251246,1191087
10,52,1518319,138954,250943,1198751
10,53,1528981,139045,250736,1204488
10,54,1529595,138840,245285,1216768
10,55,1728361,139268,243389,1419831
10,56,1956088,139700,247692,1643203
10,57,1928407,138984,259709,1599390
10,58,1869578,139420,254317,1550814
10,59,1865470,139869,252202,1549559
11,0,1883651,139847,240106,1578538
11,1,1719185,139870,246498,1407974
11,2,1436748,139640,244590,1125239
11,3,1468504,139354,251825,1149830
11,4,1441595,140526,250636,1125543
11,5,1467403,141520,257528,1143758
11,6,1499123,143361,264730,1167347
11,7,1480927,143358,265117,1146180
11,8,1487241,142333,259575,1159038
