Hour,Minute,Traffic,Sources,UDP,TCP
8,46,1544724,110649,85657,1401636
8,47,1458536,111087,86797,1313130
8,48,1429588,111893,85815,1285970
8,49,1411009,112444,85318,1267859
8,50,1404609,112607,84691,1265364
8,51,1926648,111819,86642,1786610
8,52,2009753,113180,88744,1864194
8,53,2056073,112896,86258,1916268
8,54,1931272,113349,89263,1794973
8,55,2012049,113247,87150,1878182
8,56,2283340,114299,88522,2149012
8,57,2036111,113401,91715,1898440
8,58,1974483,113431,99243,1828841
8,59,2042022,113572,98269,1897892
9,0,2284608,112064,95608,2144152
9,1,2189355,111765,94979,2049799
9,2,2134322,112270,104161,1984918
9,3,2207010,112211,100689,2058951
9,4,2472757,112339,98443,2319594
9,5,6590446,112616,95873,6440387
9,6,6764433,111180,94785,6616619
9,7,6825365,111725,93271,6676484
9,8,4322241,111132,81335,4187379
9,9,1932986,112582,87340,1791660
9,10,1983196,111280,84047,1848842
9,11,2039336,112663,86017,1907470
9,12,2050794,113167,86077,1919761
9,13,2071963,113494,86171,1941109
9,14,1974273,113813,86883,1842606
9,15,1777530,113877,87792,1644507
9,16,1666127,114238,87605,1531244
9,17,1654103,114297,86968,1520608
9,18,1642403,114391,85607,1510725
9,19,1260847,114424,87484,1128403
9,20,1075112,115425,87901,942251
9,21,1095949,116179,89282,961264
9,22,1109177,116190,87916,976450
9,23,1140563,115287,89358,1005712
9,24,1110238,114769,87450,978300
9,25,1133464,114964,87555,1001374
9,26,1151195,114640,84889,1021174
9,27,1167357,115055,89847,1033525
9,28,1266641,115470,91487,1130759
9,29,1281480,115574,88018,1149079
9,30,1271556,115791,87591,1139499
9,31,1119259,116260,90787,983012
9,32,1149662,116230,87686,1016331
9,33,1086570,115887,89061,953355
9,34,1039397,115649,89967,905043
9,35,1311373,115928,91639,1175302
9,36,1191369,115727,87707,1058819
9,37,1067360,115809,87104,935543
9,38,1078945,116232,87951,937842
9,39,1223593,115172,88843,1085356
9,40,3033292,115613,86916,2895389
9,41,3556860,115906,88695,3419981
9,42,3502241,116223,89539,3368046
9,43,3516589,115928,90337,3382010
9,44,3492507,115780,86000,3362945
9,45,3542526,116960,92065,3406336
9,46,3590190,116205,98663,3447788
9,47,3581135,115853,99373,3437335
9,48,3590467,116856,98544,3447329
9,49,1701413,117602,99555,1557333
9,50,1706121,117041,99036,1562795
9,51,1622902,117237,96022,1482240
9,52,1638334,117857,89151,1505497
9,53,1755982,117753,89761,1622039
9,54,1626045,117304,88712,1493417
9,55,1614056,116879,89227,1481036
9,56,1658204,117850,92640,1521758
9,57,1617448,119518,95108,1477846
9,58,1613384,119858,93022,1476610
9,59,1614664,118984,90832,1478462
10,0,1616647,117952,88809,1481471
10,1,1614345,116462,87737,1484217
10,2,1605753,118060,89453,1473168
10,3,1597908,118863,93861,1461274
10,4,1650606,118603,90581,1516700
10,5,1598647,119261,92981,1462575
10,6,1606466,119293,92805,1469527
10,7,1657886,119497,90443,1524292
10,8,1569015,119701,92335,1433937
10,9,1576246,119814,96476,1436708
10,10,1671461,119485,96470,1532567
10,11,1145996,119620,90666,1013084
10,12,1040830,119800,90877,907396
10,13,1051201,120871,94056,915078
10,14,1070831,120811,92735,935702
10,15,1072558,121127,93114,936744
10,16,1138061,120869,90819,1004124
10,17,1073420,121285,93033,936915
10,18,1055932,120819,92681,920037
10,19,1061037,120703,91742,926036
10,20,1100973,120724,92293,965738
10,21,1138226,121893,94234,1001104
10,22,1172071,122583,94808,1034911
10,23,1104596,122627,95220,966689
10,24,1133608,122448,95119,996353
10,25,1055391,122522,93636,919439
10,26,1198860,122550,93557,1062788
10,27,1145416,121932,95019,1007759
10,28,1071015,121863,93730,935042
10,29,1126744,122666,95024,988824
10,30,1067764,123489,94811,930684
10,31,1122589,123179,94498,985659
10,32,1480849,122400,95124,1343904
10,33,1268666,122260,96636,1129760
10,34,1258615,121737,104201,1109350
10,35,1525026,122826,107552,1371744
10,36,1330085,123622,105518,1181900
10,37,1337130,123327,105509,1189488
10,38,1541086,123202,105182,1393300
10,39,1257099,123007,99671,1114177
10,40,1181865,123609,93996,1044949
10,41,1099493,124831,94805,962574
10,42,1095031,124293,94127,958441
10,43,1131829,124213,95509,994072
10,44,1104373,123321,94169,966996
10,45,1171198,122743,94220,1034379
10,46,1247450,122694,93403,1111483
10,47,1064708,122236,92456,929516
10,48,1303874,123431,93982,1167966
10,49,1067501,122030,91075,934160
10,50,1486063,122047,92305,1351972
10,51,1232952,123733,95465,1095136
10,52,1358353,123739,94741,1220555
10,53,1190462,124500,95953,1051323
10,54,1251543,123982,94325,1115262
10,55,1154895,123421,91958,1019300
10,56,1096490,123322,92816,958339
10,57,1149152,123313,94342,1009640
10,58,1076971,124156,94310,935286
10,59,1233182,124485,93909,1090763
11,0,1071921,125020,93690,933959
11,1,1089450,124799,95137,949268
11,2,1086215,125799,98590,943870
11,3,1178270,125878,97224,1037795
11,4,1195886,126157,95545,1056432
11,5,1146645,126328,103914,999649
11,6,1150169,127790,98529,1008569
11,7,1247707,127958,98099,1105183
11,8,1318747,126890,94117,1179613
11,9,1544445,126972,98064,1400441
11,10,1621851,126016,96319,1480636
11,11,1387129,125279,94953,1246618
11,12,1351209,126097,96668,1209496
11,13,1315019,127050,97654,1172389
11,14,1376496,125709,93111,1238233
11,15,1333463,126781,96642,1192353
11,16,1364216,127271,97790,1220423
11,17,1322784,127687,95927,1180516
11,18,1318927,126775,94585,1177868
11,19,1366266,127259,97098,1223925
11,20,1500668,128043,97282,1357771
11,21,1583115,127938,100731,1436493
11,22,1610960,127763,108689,1456386
11,23,1571250,127693,109690,1415651
11,24,1611463,128971,106577,1459633
11,25,1572128,130106,107823,1418657
11,26,1529224,129836,107125,1376597
11,27,1509134,130182,100960,1362627
11,28,1404450,130860,97170,1260933
11,29,1624580,130753,97660,1479605
11,30,1687828,131321,99060,1542256
11,31,1440488,131127,99995,1294094
11,32,1374510,131008,97492,1231054
11,33,1600890,130452,99832,1454893
11,34,1479683,131295,98569,1335006
11,35,1405004,131738,97394,1261567
11,36,1353383,132492,99855,1207745
11,37,1324569,132360,99454,1179659
11,38,1481251,131725,98819,1335688
11,39,1377899,132260,100615,1230805
11,40,1334888,133186,104838,1186605
11,41,1293730,133047,106322,1143448
11,42,1325751,132700,100026,1183262
11,43,1257600,131660,98411,1116103
11,44,1228618,131764,98716,1087602
11,45,1224788,131600,101054,1080622
11,46,1131343,132334,100780,987057
11,47,1138131,133184,100722,994250
11,48,1137387,132081,99542,994613
11,49,1161865,133025,99775,1019643
11,50,1457330,133070,101226,1313700
11,51,1439038,132012,101033,1295513
11,52,1148864,132957,100813,1005398
11,53,1205167,131882,100900,1061304
11,54,1156085,131476,98661,1014383
11,55,1213674,132370,100884,1053723
11,56,1233647,133887,100046,1070637
11,57,1223736,134346,100988,1063080
11,58,1138719,134571,100124,981600
11,59,1326811,133184,97664,1170183
12,0,1444402,133231,99913,1287810
12,1,1201511,133280,99546,1045038
12,2,1148718,133693,97073,992315
12,3,1219193,133243,97367,1068957
12,4,1122160,133382,100242,969324
12,5,1120032,134770,102492,964074
12,6,1143111,134893,102436,986476
12,7,1175118,134637,102418,1028372
12,8,1143573,135235,104024,999028
12,9,1220592,134698,108149,1070703
12,10,1185588,133895,114791,1029637
12,11,1263506,133146,112637,1110189
12,12,1188267,133319,112190,1035402
12,13,1225044,133824,111465,1073503
12,14,1245005,132990,113327,1090600
12,15,1228298,133679,104020,1081492
12,16,1191488,135293,102823,1041090
12,17,1186493,134672,101978,1036917
12,18,1185523,134660,99454,1043322
12,19,1240715,134769,100442,1097553
12,20,1310302,132741,98199,1169545
12,21,1186776,132918,97595,1045622
12,22,1241450,134354,104667,1094671
12,23,1152725,134090,101858,1008261
12,24,1179231,134575,102872,1033088
12,25,1178865,134490,102419,1032759
12,26,1188827,135307,101868,1042365
12,27,1259323,134714,101258,1106814
12,28,1247428,135787,104736,1097856
12,29,1178046,135309,100987,1030033
12,30,1158574,135056,103609,1010180
12,31,1162107,136923,107188,1011459
12,32,1236889,137290,115078,1079507
12,33,1201008,135520,113653,1046554
12,34,1208502,136484,122031,1045166
12,35,1200403,137960,121525,1036746
12,36,1217632,138506,128151,1043205
12,37,1284557,137834,122924,1118100
12,38,1299639,139589,129802,1125225
12,39,1303739,139762,127769,1125353
12,40,1187659,138782,126135,1010244
12,41,1197775,139398,122816,1022557
12,42,1266647,138126,116169,1100076
12,43,1196332,137267,111053,1039249
12,44,1260003,137568,105412,1110045
12,45,1224440,135831,100878,1081703
12,46,1264947,135007,101737,1120527
12,47,1202390,134544,100247,1059873
12,48,1286947,133764,99054,1145502
12,49,1294628,134309,100104,1151438
12,50,1268662,134461,98279,1127829
12,51,1193711,134852,99342,1052039
12,52,1206585,135064,100888,1062269
12,53,1219198,136912,103243,1071999
12,54,1481693,136988,104778,1333178
12,55,1438839,137749,103962,1291335
12,56,1300336,136486,101553,1154714
12,57,1326772,136558,109195,1173205
12,58,1267194,135893,112708,1111396
12,59,1395046,135912,112047,1239888
13,0,1288490,135030,110983,1134051
13,1,1452046,135415,111026,1297636
13,2,1283300,134445,108546,1131769
13,3,1264410,134759,100262,1121887
13,4,1260661,135637,101699,1116393
13,5,1384672,135061,99736,1242195
13,6,1940906,135566,101229,1796032
13,7,1982303,135545,100995,1837197
13,8,2100082,134851,101980,1954783
13,9,1935716,135208,99456,1792885
13,10,1891881,134866,99516,1749135
